time_period,parse_lane_name(vehicle_lane),min(vehicle_HC),max(vehicle_HC),avg(vehicle_HC),stddev(vehicle_HC)
0.0,359095411,0.0,0.81,0.2025,0.405
0.0,23184216,0.0,8.79,1.5667973856209145,2.6543354936075234
0.0,31620003,0.0,8.53,1.56,2.7018009471848505
0.0,286070634,0.0,3.65,0.5014814814814815,0.8277852922276948
0.0,353746851,0.0,0.0,0.0,0.0
0.0,86378187,0.0,0.95,0.48428571428571426,0.4162874464780773
0.0,844173317,0.93,6.24,4.466666666666667,3.06284725922357
0.0,359094908,0.0,6.91,0.8466666666666666,1.766896660680474
0.0,23182990,0.0,1.33,0.6867272727272724,0.3662222283514759
0.0,365528693,0.01,0.01,0.01,
0.0,56464361,0.0,0.81,0.7405263157894734,0.22096774093067453
0.0,250699928,0.0,0.58,0.1857142857142857,0.21968592299440753
1.0,32227388,0.0,0.68,0.41857142857142854,0.32424722625839647
1.0,97788195,0.0,8.69,2.7682558139534876,2.782094457706896
1.0,1050850172,0.0,8.54,2.9223021582733844,2.3112997629670087
1.0,49292938,0.0,9.46,2.0455434782608695,2.85910397249932
1.0,1209362820,0.0,7.84,2.624375,2.8439236502978424
1.0,299656284,0.0,11.94,2.4365925925925924,3.5559452346577305
1.0,251137620,0.7,7.74,4.22,4.978031739553295
1.0,469892959,0.0,2.47,0.9249122807017546,0.576486038757406
1.0,250712970,0.59,7.75,1.9963636363636363,2.7992115773098423
1.0,60958842,0.0,7.29,3.6182608695652174,2.7803967214866576
0.0,359096480,0.33,8.57,1.5924,2.044489096734601
0.0,52176359,0.0,5.76,1.7325,2.466916814857885
1.0,734712582,0.0,1.15,0.5623684210526315,0.35523448069284486
